scenarioId,riskId,title,cause,event,consequence,framework,sleLow,sleLikely,sleHigh,aro
R-01-S01,R-01,Absence of Information Security Policy,Lack of governance structure and management oversight; Security not prioritized at executive level,"Organization operates without documented, approved information security policy",Inconsistent security practices; Regulatory audit failures; No basis for enforcement; Staff unaware of expectations,ISO,100000,300000,750000,
R-01-S02,R-01,Unclear Security Roles & Responsibilities,No RACI matrix for security; Overlapping or missing responsibilities; No formal security function,Security tasks fall through cracks; Conflicting decisions made; Accountability unclear during incidents,Delayed incident response; Duplicated efforts or gaps; Blame culture; Failed audits,ISO,75000,200000,500000,
R-01-S03,R-01,Inadequate Segregation of Duties,Small team size; Cost pressures; No SoD policy or technical enforcement,"Single individual can initiate, approve, and execute sensitive transactions without oversight",Fraud goes undetected; Errors not caught; Compliance violations; Financial loss,ISO,50000,250000,1000000,
R-02-S01,R-02,No Established Authority Contacts,No documented procedures; Unclear who contacts whom; No relationship building,"During breach, organization doesn't know how/when to contact law enforcement, regulators, or CERT",Delayed notification; Regulatory penalties; Missed assistance; Legal exposure,ISO,50000,200000,500000,
R-02-S02,R-02,No Security Community Engagement,Not a member of ISAC or security forums; No peer information sharing,Industry-specific threat campaign targets sector; Organization has no early warning,Blindsided by attack; No peer support; Miss best practices; Slower detection,ISO,100000,350000,800000,
R-02-S03,R-02,No Threat Intelligence Program,No threat intel feeds; No analysis capability; Reactive security posture,Zero-day or emerging threat exploited before organization aware of its existence,Successful breach; No indicators to hunt for; Delayed detection,ISO,150000,500000,2000000,
R-03-S01,R-03,Security Not Integrated in Projects,No security gates in project methodology; Security consulted too late; Time pressure,New system deployed to production with security vulnerabilities; No threat modeling done,Vulnerable system exposed; Costly post-deployment remediation; Breach via new system,ISO,100000,400000,1500000,
R-03-S02,R-03,Undocumented Operating Procedures,Tribal knowledge; Staff turnover; No documentation requirements,Key person unavailable; Team cannot perform critical security operations correctly,Operational errors; Extended outages; Security gaps during absence,ISO,50000,200000,600000,
R-03-S03,R-03,Unauthorized Production Changes,No change management process; Emergency changes not tracked; Developer direct access,Unapproved change introduces vulnerability or causes outage,Service disruption; Security hole introduced; No rollback plan; Audit failure,ISO,75000,350000,1000000,
R-04-S01,R-04,Unknown Shadow IT Assets,Easy cloud provisioning; No shadow IT policy; Decentralized purchasing,Business unit deploys SaaS with customer data without IT knowledge or security review,Unknown attack surface; Data breach via unsecured service; Compliance violation,ISO,200000,750000,2500000,
R-04-S02,R-04,Misuse of Information Assets,No acceptable use policy; No monitoring; Unclear boundaries,"Employee uses corporate systems for unauthorized purposes (mining, personal business, piracy)",Legal liability; Malware introduction; Resource consumption; Reputation damage,ISO,25000,100000,400000,
R-04-S03,R-04,Assets Not Returned at Termination,No asset return process; No offboarding checklist; Remote employee,"Terminated employee retains corporate laptop, phone, or access tokens with sensitive data",Data breach; IP theft; Continued access risk; Compliance violation,ISO,50000,200000,750000,
R-05-S01,R-05,Misclassified Sensitive Data,No classification policy; No training; Complex data landscape,"PII or financial data classified as 'internal' instead of 'confidential', stored without encryption",Data breach with unprotected sensitive data; Regulatory fines; Notification costs,ISO,250000,800000,3000000,
R-05-S02,R-05,Insecure Data Transfer,No encryption requirements; Legacy systems; User convenience,"Sensitive data transmitted over unencrypted channel (HTTP, FTP, plain email)",Data intercepted; Credential theft; Man-in-the-middle attack success,ISO,150000,500000,1500000,
R-05-S03,R-05,Improper Data Deletion,No data retention policy; No secure deletion procedures; Storage cost is cheap,Data retained beyond legal requirement or recovered after 'deletion',Privacy violation; Legal discovery issues; Storage of unnecessary risk,ISO,75000,250000,750000,
R-05-S04,R-05,Unmasked Data in Non-Production,No test data management; Convenience; No masking tools,Production data with real PII copied to development/test environment,Wider exposure of sensitive data; Developer access to PII; Compliance violation,ISO,100000,350000,1000000,
R-06-S01,R-06,Weak Authentication Controls,No password policy; No MFA; User convenience prioritized,"Attacker compromises account via credential stuffing, brute force, or phishing",Unauthorized access; Account takeover; Lateral movement; Data theft,ISO,100000,400000,1500000,
R-06-S02,R-06,Excessive User Privileges,No least privilege policy; Role explosion; No access reviews,User or compromised account has access far beyond job requirements,Insider data theft; Compromised account causes massive breach; Fraud,ISO,150000,500000,2000000,
R-06-S03,R-06,Orphaned Accounts After Termination,No automated JML process; HR-IT disconnect; No regular reviews,Terminated employee's account remains active for days/weeks/months,Former employee accesses systems; Sells access; Commits sabotage,ISO,100000,400000,1500000,
R-06-S04,R-06,Shared or Generic Accounts,Legacy systems; Convenience; Cost of licenses,Malicious action performed via shared account; Cannot identify responsible individual,No accountability; Audit failure; Cannot prosecute; Passwords widely known,ISO,50000,200000,600000,
R-07-S01,R-07,Third-Party Data Breach,No vendor security assessment; Reliance on self-attestation; No ongoing monitoring,Vendor with access to customer data suffers breach; Organization's data exposed,Data breach notification; Regulatory fines; Legal liability; Reputation damage,ISO,300000,1200000,5000000,
R-07-S02,R-07,Supply Chain Software Compromise,No supply chain verification; Blind trust in updates; No SBOM,"Malicious code inserted into software update or open-source library (SolarWinds, Log4j style)",Backdoor access to all systems running software; Massive breach; APT persistence,ISO,500000,2000000,10000000,
R-07-S03,R-07,Vendor Access Abuse,Excessive vendor permissions; No monitoring; Shared vendor accounts,Malicious vendor employee or compromised vendor account steals data or installs backdoor,Data theft; Persistent backdoor; IP loss; Hard to detect (legitimate user),ISO,200000,700000,2500000,
R-07-S04,R-07,Insecure Cloud Service Usage,No cloud security policy; Shared responsibility misunderstanding; Default configurations,Cloud storage misconfigured as public; Cloud service used without security controls,Data exposed to internet; Massive breach; Regulatory violation,ISO,400000,1500000,6000000,
R-07-S05,R-07,Insecure Outsourced Development,No security requirements for vendors; No code review; Cost-focused selection,Third-party developed code contains vulnerabilities or backdoors,Vulnerable application in production; Backdoor access; Costly remediation,ISO,150000,600000,2000000,
R-08-S01,R-08,Cloud Admin Account Compromise,No MFA on admin accounts; Weak password; Phishing,"Attacker gains access to cloud admin console (AWS root, Azure Global Admin)",Complete cloud environment compromise; Data exfiltration; Massive bills; Ransomware,ISO,300000,1000000,5000000,
R-08-S02,R-08,Cloud Misconfiguration,No cloud security baseline; Infrastructure as Code not reviewed; Default settings,S3 bucket public; Security group allows 0.0.0.0/0; Database exposed,Data breach; Cryptomining; Regulatory fines; Reputational damage,ISO,200000,800000,3000000,
R-08-S03,R-08,Shared Responsibility Gaps,Misunderstanding of cloud shared responsibility model; Assumed provider handles security,Security control not implemented because each party thought the other was responsible,Security gap exploited; Breach with unclear liability; Finger-pointing,ISO,100000,400000,1500000,
R-09-S01,R-09,Inadequate Background Screening,No screening policy; Cost concerns; Fast hiring pressure,Employee with criminal history or false credentials hired into sensitive role,Fraud; Data theft; Embezzlement; Regulatory violation,ISO,75000,300000,1000000,
R-09-S02,R-09,Missing Security Terms in Employment,HR contracts not reviewed by security; Boilerplate contracts; No NDA,Employee leaves and shares confidential information; No legal recourse,IP theft with no remedy; Competitive intelligence loss; Cannot prosecute,ISO,100000,400000,1500000,
R-09-S03,R-09,No Disciplinary Process for Violations,No policy enforcement; HR reluctance; Unclear consequences,Security violations occur repeatedly without consequence; Culture of non-compliance,Increased risk acceptance; More violations; Audit findings; Eventual breach,ISO,50000,150000,500000,
R-09-S04,R-09,Insecure Termination Process,No offboarding checklist; HR-IT disconnect; Remote termination challenges,Access not revoked timely; Assets not returned; Knowledge not transferred,Former employee retains access; Data theft; Sabotage; IP loss,ISO,75000,300000,1000000,
R-10-S01,R-10,Phishing Attack Success,No security awareness training; No phishing simulations; User trust,"Employee clicks phishing link, enters credentials, or opens malicious attachment",Credential theft; Malware infection; BEC wire fraud; Ransomware entry point,ISO,100000,500000,2500000,
R-10-S02,R-10,Social Engineering Success,No verification procedures; Helpful culture exploited; No awareness,"Attacker manipulates employee via phone, in-person, or online to bypass controls",Unauthorized access; Physical entry; Information disclosure; Wire transfer,ISO,75000,350000,1500000,
R-10-S03,R-10,Security Events Not Reported,No reporting culture; Fear of blame; Don't know what to report,Employee observes suspicious activity but doesn't report it; Early warning missed,Breach continues undetected; Extended dwell time; Greater damage,ISO,50000,250000,1000000,
R-11-S01,R-11,Insecure Remote Working,No remote work policy; No VPN requirement; Personal devices used,Remote worker accesses corporate data over insecure home network or public WiFi,Credential interception; Data leakage; Malware from home network,ISO,75000,300000,1000000,
R-11-S02,R-11,Mobile Device Theft/Loss,No MDM; No encryption requirement; No remote wipe,Employee's phone or laptop with corporate data lost or stolen,Data breach from unencrypted device; Credential exposure; Notification required,ISO,50000,200000,750000,
R-12-S01,R-12,Unauthorized Physical Access,No access controls; Tailgating; Lost/stolen badges,"Unauthorized person gains physical access to office, server room, or secure area",Equipment theft; Data theft; Physical tampering; Device implants,ISO,100000,400000,1500000,
R-12-S02,R-12,No Physical Security Monitoring,No CCTV; No guards; No intrusion detection,Physical security incident occurs with no evidence; Intrusion goes undetected,Cannot investigate; No deterrence; Insurance claim denied,ISO,50000,200000,600000,
R-12-S03,R-12,Sensitive Information Left Visible,No clear desk policy; No screen lock; Open office environment,Sensitive information on screens or desks observed by unauthorized visitors,Information disclosure; Social engineering enablement; Compliance violation,ISO,25000,100000,400000,
R-12-S04,R-12,Insecure Work in Secure Areas,No visitor escort; No secure area procedures; Tailgating allowed,"Unauthorized activities or unescorted visitors in secure areas (data center, vault)",Equipment tampering; Data theft; Shoulder surfing; Device installation,ISO,75000,300000,1000000,
R-13-S01,R-13,Environmental Damage to Systems,Inadequate environmental controls; No fire suppression; Flood-prone location,"Fire, flood, or other environmental event damages IT equipment",Hardware destruction; Data loss; Extended outage; Recovery costs,ISO,200000,1000000,5000000,
R-13-S02,R-13,Supporting Utilities Failure,No UPS; No generator; Single utility feed; No redundant cooling,Power outage or HVAC failure causes system shutdown or hardware damage,Service outage; Data corruption; Hardware failure from heat,ISO,100000,400000,1500000,
R-13-S03,R-13,Cabling Security Failure,No cable management; Exposed cabling; No cable labeling,"Network cables damaged, disconnected accidentally, or tapped",Service disruption; Data interception; Troubleshooting delays,ISO,25000,100000,400000,
R-14-S01,R-14,Equipment Theft,No physical security; No cable locks; No asset tracking,"Laptop, server, or other equipment stolen from office or during transport",Data breach from stolen device; Asset loss; Business disruption,ISO,50000,250000,800000,
R-14-S02,R-14,Improper Media Handling,No media handling policy; No encryption for removable media,"USB drive or backup tape with sensitive data lost, stolen, or mishandled",Data breach; Compliance violation; Unable to locate data,ISO,50000,200000,750000,
R-14-S03,R-14,Insecure Equipment Disposal,No disposal procedures; No data sanitization; Donated/sold equipment,Decommissioned equipment disposed of with data still recoverable,Data breach from recovered data; Compliance violation,ISO,75000,300000,1000000,
R-15-S01,R-15,Unmanaged BYOD Devices,No MDM; No BYOD policy; User convenience,Personal device with corporate data compromised by malware or stolen,Data breach via personal device; No remote wipe; Malware spread,ISO,75000,300000,1000000,
R-15-S02,R-15,Unauthorized Software Installation,Admin rights given to users; No application whitelisting,User installs unauthorized or malicious software on corporate device,Malware infection; Vulnerable software; License violation,ISO,50000,200000,750000,
R-15-S03,R-15,USB-Based Attack,USB ports not disabled; No device control; Curiosity,"Malicious USB device inserted (dropped in parking lot, sent as gift)",Malware infection; Data exfiltration; Keyboard injection attack,ISO,100000,400000,1500000,
R-16-S01,R-16,Ransomware Infection,No EDR; Unpatched systems; Successful phishing; No segmentation,Ransomware encrypts files across network; Ransom demanded,Business shutdown; Data loss; Ransom payment; Recovery costs; Reputation damage,ISO,500000,2000000,10000000,
R-16-S02,R-16,Persistent Malware/RAT Infection,No EDR behavioral detection; No network monitoring,Malware establishes persistence; Attacker maintains long-term access,Data exfiltration over time; Espionage; Staging for later attack,ISO,300000,1200000,5000000,
R-17-S01,R-17,Weak Network Segmentation,Flat network; Legacy architecture; No micro-segmentation,Attacker or malware moves laterally from initial foothold to critical systems,Small breach becomes total compromise; Ransomware spreads everywhere,ISO,200000,800000,3000000,
R-17-S02,R-17,Insecure Network Services,Unnecessary services running; Default configurations; No hardening,"Attacker exploits vulnerable network service (SMB, RDP, Telnet)",Network compromise; Credential theft; Remote code execution,ISO,150000,600000,2000000,
R-17-S03,R-17,No Web Content Filtering,No proxy; No DNS filtering; Direct internet access,User accesses malicious website; Drive-by download; C2 communication succeeds,Malware infection; Data exfiltration; Cryptominer installation,ISO,50000,200000,750000,
R-18-S01,R-18,Unpatched Critical Vulnerability,No vulnerability management program; Slow patching; Change aversion,Known critical CVE exploited in production system,Remote code execution; Data breach; Ransomware; Network compromise,ISO,200000,800000,3000000,
R-18-S02,R-18,Misconfigured Systems,No hardening standards; Default configurations; No compliance scanning,"Attacker exploits default credentials, unnecessary services, or weak settings",Unauthorized access; Service compromise; Network entry point,ISO,100000,400000,1500000,
R-18-S03,R-18,Zero-Day Exploitation,No threat intelligence; No behavioral detection; Single-layer defense,Attacker uses unknown vulnerability before patch available,Breach with no signature-based detection; Delayed response,ISO,300000,1200000,5000000,
R-19-S01,R-19,Missing Security Requirements,No security in requirements phase; Functional focus only,"Application built without authentication, authorization, or encryption requirements",Fundamentally insecure application; Costly redesign needed,ISO,100000,400000,1500000,
R-19-S02,R-19,Insecure Code Deployed,No secure coding training; No code review; No SAST,"Application deployed with SQLi, XSS, or other code vulnerabilities",Data breach; Account takeover; Website defacement,ISO,150000,600000,2000000,
R-19-S03,R-19,No Security Testing Before Release,No pen test requirement; Time pressure; Security as afterthought,Vulnerabilities discovered in production instead of before release,Production breach; Emergency patching; Reputation damage,ISO,100000,450000,1500000,
R-19-S04,R-19,No Environment Separation,Cost savings; Convenience; Resource constraints,Dev changes affect production; Developers access production data,Service disruption; Data exposure to developers; Compliance violation,ISO,75000,300000,1000000,
R-20-S01,R-20,Vulnerable Third-Party Libraries,No SCA; No dependency management; No SBOM,"Application uses library with known critical vulnerability (Log4j, Struts)",Remote code execution; Data breach; Compliance violation,ISO,200000,800000,3000000,
R-20-S02,R-20,Source Code Exposure,Public repo with secrets; No access controls; Insider,"Source code with credentials, keys, or proprietary logic exposed",Credential compromise; IP theft; Vulnerability disclosure,ISO,150000,600000,2500000,
R-20-S03,R-20,Insecure API,API security not addressed; No authentication; No rate limiting,"API exploited for data extraction, abuse, or injection",Mass data breach; Service abuse; Account enumeration,ISO,150000,600000,2500000,
R-21-S01,R-21,Weak Encryption Algorithms,Legacy systems; No cryptographic standards; Ignorance,"Sensitive data protected by weak/broken encryption (DES, MD5, SHA-1)",Data decryption by attacker; Password cracking; Compliance failure,ISO,100000,500000,2000000,
R-21-S02,R-21,Poor Key Management,No key management process; Keys in code; No rotation,"Encryption keys compromised, lost, or found in source code",All encrypted data exposed; Need to re-encrypt everything,ISO,200000,750000,3000000,
R-22-S01,R-22,No Security Logging,Logging not enabled; Logs not collected; Storage costs,Security incident occurs with no log evidence,Cannot investigate; Unknown scope; Cannot prove compliance; No prosecution,ISO,100000,400000,1500000,
R-22-S02,R-22,No Security Monitoring/SIEM,No SIEM; Logs not analyzed; No alerting,Attack progresses without detection; Logs exist but nobody watching,Extended dwell time; Greater damage; Breach discovered externally,ISO,200000,800000,3000000,
R-22-S03,R-22,Inconsistent System Time,No NTP configuration; Mixed time zones; Drift,Log correlation fails during investigation; Events cannot be sequenced,Ineffective forensics; Audit findings; Cannot reconstruct timeline,ISO,25000,100000,400000,
R-23-S01,R-23,No Incident Response Plan,No IR planning; No team; No playbooks,Major security incident occurs; No coordinated response; Chaos,Extended incident duration; Greater damage; Poor communication; Legal exposure,ISO,150000,600000,2500000,
R-23-S02,R-23,Evidence Contamination/Loss,No forensic procedures; Untrained responders; Evidence mishandled,"Forensic evidence contaminated, lost, or inadmissible",Cannot determine scope; Cannot prosecute; Insurance denied; Unknown cause,ISO,75000,350000,1200000,
R-23-S03,R-23,No Lessons Learned Process,No post-incident review; Move on quickly; Blame culture,Same type of incident occurs repeatedly; Root cause never addressed,Repeated breaches; Wasted remediation; Audit findings,ISO,50000,250000,1000000,
R-24-S01,R-24,Failed Backup Recovery,Backups not tested; Corrupted backups; Wrong data backed up,Need to restore from backup; Discovery that backups are unusable,Permanent data loss; Extended outage; Business failure potential,ISO,500000,2000000,10000000,
R-24-S02,R-24,No Disaster Recovery Plan,No DR site; No DR testing; Single location dependency,"Major disaster (fire, flood, ransomware) destroys primary site",Complete business shutdown; No recovery path; Potential business failure,ISO,1000000,5000000,25000000,
R-24-S03,R-24,Inadequate ICT Continuity,IT not included in BCP; RTO/RPO not defined; No redundancy,Business disruption occurs; IT systems cannot recover in time,Extended outage beyond business tolerance; SLA breaches; Revenue loss,ISO,200000,800000,3000000,
R-25-S01,R-25,GDPR/Privacy Non-Compliance,No privacy program; No DPO; Unknown data processing,Data subject complaint; Regulatory investigation; Privacy breach,Fines up to 4% global revenue; Enforcement action; Reputation damage,ISO,250000,1000000,5000000,
R-25-S02,R-25,Intellectual Property Loss,No IP protection; Weak access controls; No monitoring,"Trade secrets, source code, or proprietary information stolen",Competitive disadvantage; Legal costs; Revenue impact,ISO,250000,1000000,5000000,
R-25-S03,R-25,Inadequate Records Management,No retention policy; Records destroyed early or kept too long,Cannot produce records for legal discovery; Holding data beyond legal basis,Adverse legal ruling; Regulatory penalty; Compliance failure,ISO,100000,400000,1500000,
R-25-S04,R-25,No Independent Security Review,No internal audit; No third-party assessment; Self-assessment only,Systemic security weaknesses remain undetected until breach or external audit,Certification failure; Hidden vulnerabilities; Audit findings,ISO,75000,300000,1000000,
